area_code,area_name,indicator,period,measure,unit,value
E02001259,Old Trafford,People on Universal Credit,2019-01,count,persons,842
E02001260,Trafford Park West & Kingsway Park,People on Universal Credit,2019-01,count,persons,197
E02001261,Gorse Hill,People on Universal Credit,2019-01,count,persons,467
E02001262,Firswood,People on Universal Credit,2019-01,count,persons,390
E02001263,Davyhulme,People on Universal Credit,2019-01,count,persons,126
E02001264,Trafford Park East & Sevenways,People on Universal Credit,2019-01,count,persons,340
E02001265,Flixton & Moorside,People on Universal Credit,2019-01,count,persons,232
E02001266,Lostock & Stretford Meadows,People on Universal Credit,2019-01,count,persons,400
E02001267,Urmston East,People on Universal Credit,2019-01,count,persons,250
E02001268,Urmston West,People on Universal Credit,2019-01,count,persons,124
E02001269,Stretford East,People on Universal Credit,2019-01,count,persons,442
E02001270,Sale North,People on Universal Credit,2019-01,count,persons,202
E02001271,Ashton upon Mersey North,People on Universal Credit,2019-01,count,persons,264
E02001272,Sale East,People on Universal Credit,2019-01,count,persons,142
E02001273,Sale Central,People on Universal Credit,2019-01,count,persons,233
E02001274,Ashton upon Mersey South,People on Universal Credit,2019-01,count,persons,105
E02001275,Partington,People on Universal Credit,2019-01,count,persons,648
E02001276,Sale Moor,People on Universal Credit,2019-01,count,persons,346
E02001277,Broadheath & Firsway,People on Universal Credit,2019-01,count,persons,636
E02001278,West Timperley,People on Universal Credit,2019-01,count,persons,132
E02001279,Timperley North,People on Universal Credit,2019-01,count,persons,94
E02001280,Timperley East,People on Universal Credit,2019-01,count,persons,383
E02001281,Timperley South,People on Universal Credit,2019-01,count,persons,82
E02001282,Altrincham East,People on Universal Credit,2019-01,count,persons,230
E02001283,"Altrincham West, Dunham & Warburton",People on Universal Credit,2019-01,count,persons,169
E02001284,Hale,People on Universal Credit,2019-01,count,persons,76
E02001285,Bowdon,People on Universal Credit,2019-01,count,persons,116
E02001286,Hale Barns,People on Universal Credit,2019-01,count,persons,107
E02001259,Old Trafford,People on Universal Credit,2019-02,count,persons,807
E02001260,Trafford Park West & Kingsway Park,People on Universal Credit,2019-02,count,persons,188
E02001261,Gorse Hill,People on Universal Credit,2019-02,count,persons,446
E02001262,Firswood,People on Universal Credit,2019-02,count,persons,375
E02001263,Davyhulme,People on Universal Credit,2019-02,count,persons,119
E02001264,Trafford Park East & Sevenways,People on Universal Credit,2019-02,count,persons,320
E02001265,Flixton & Moorside,People on Universal Credit,2019-02,count,persons,220
E02001266,Lostock & Stretford Meadows,People on Universal Credit,2019-02,count,persons,385
E02001267,Urmston East,People on Universal Credit,2019-02,count,persons,216
E02001268,Urmston West,People on Universal Credit,2019-02,count,persons,108
E02001269,Stretford East,People on Universal Credit,2019-02,count,persons,395
E02001270,Sale North,People on Universal Credit,2019-02,count,persons,200
E02001271,Ashton upon Mersey North,People on Universal Credit,2019-02,count,persons,248
E02001272,Sale East,People on Universal Credit,2019-02,count,persons,127
E02001273,Sale Central,People on Universal Credit,2019-02,count,persons,215
E02001274,Ashton upon Mersey South,People on Universal Credit,2019-02,count,persons,96
E02001275,Partington,People on Universal Credit,2019-02,count,persons,639
E02001276,Sale Moor,People on Universal Credit,2019-02,count,persons,338
E02001277,Broadheath & Firsway,People on Universal Credit,2019-02,count,persons,602
E02001278,West Timperley,People on Universal Credit,2019-02,count,persons,125
E02001279,Timperley North,People on Universal Credit,2019-02,count,persons,75
